Accident_ID,City,Condition,Severity,Day_of_Week,Hour,Injuries,Fatalities
1,Houston,Rain,1,Monday,11,3,0
2,Phoenix,Thunderstorm,3,Sunday,23,1,0
3,Chicago,Fog,1,Friday,22,0,0
4,Phoenix,Fog,1,Friday,8,1,0
5,Phoenix,Thunderstorm,2,Tuesday,2,1,0
6,Los Angeles,Thunderstorm,2,Thursday,10,1,0
7,Chicago,Thunderstorm,1,Saturday,9,2,0
8,Chicago,Snow,1,Tuesday,0,1,0
9,Chicago,Fog,1,Sunday,16,3,0
10,Phoenix,Fog,2,Sunday,12,3,0
11,Houston,Snow,3,Saturday,13,3,0
12,Chicago,Thunderstorm,4,Sunday,0,4,0
13,Phoenix,Rain,2,Wednesday,1,3,0
14,Los Angeles,Thunderstorm,1,Saturday,1,4,0
15,Houston,Thunderstorm,4,Friday,6,1,0
16,Los Angeles,Snow,2,Sunday,8,3,0
17,Houston,Fog,1,Sunday,23,3,0
18,Phoenix,Thunderstorm,4,Monday,3,1,0
19,New York,Fog,3,Monday,1,2,0
20,Houston,Clear,3,Monday,18,3,0
21,Los Angeles,Fog,3,Saturday,4,1,0
22,Phoenix,Rain,1,Friday,8,3,0
23,Houston,Rain,1,Saturday,23,3,0
24,New York,Thunderstorm,2,Thursday,12,1,0
25,New York,Fog,1,Friday,11,6,0
26,Chicago,Thunderstorm,2,Friday,18,6,0
27,Chicago,Snow,3,Saturday,8,1,0
28,Los Angeles,Rain,3,Saturday,9,5,0
29,Houston,Thunderstorm,2,Monday,18,2,0
30,Houston,Snow,3,Friday,9,1,0
31,Chicago,Thunderstorm,3,Monday,11,2,0
32,Houston,Fog,2,Thursday,13,0,0
33,Houston,Fog,1,Wednesday,7,4,0
34,New York,Fog,1,Monday,15,1,0
35,Chicago,Fog,1,Saturday,16,1,0
36,Phoenix,Clear,1,Sunday,19,0,0
37,Chicago,Snow,1,Tuesday,3,1,0
38,Phoenix,Snow,1,Wednesday,5,2,0
39,New York,Fog,2,Thursday,11,3,0
40,Los Angeles,Clear,4,Sunday,17,2,0
41,Houston,Fog,1,Saturday,6,2,0
42,New York,Clear,3,Wednesday,4,2,0
43,Houston,Fog,2,Saturday,9,4,0
44,Los Angeles,Rain,1,Monday,5,1,0
45,Los Angeles,Rain,4,Sunday,13,2,0
46,New York,Thunderstorm,2,Saturday,5,3,0
47,Los Angeles,Fog,1,Sunday,13,2,0
48,Phoenix,Snow,3,Thursday,11,5,0
49,Los Angeles,Thunderstorm,1,Tuesday,21,0,0
50,Houston,Rain,2,Monday,11,5,0
51,Houston,Fog,1,Monday,7,2,0
52,Houston,Thunderstorm,3,Sunday,9,2,0
53,Houston,Fog,2,Thursday,15,1,0
